coverage,method,psnr_full,scenario,t_frame
1.0,P,,degrade_recover,7.0
1.0,P,,degrade_recover,8.0
1.0,P,,degrade_recover,9.0
1.0,P,,degrade_recover,10.0
1.0,P,,degrade_recover,11.0
1.0,P,,degrade_recover,12.0
1.0,P,,degrade_recover,13.0
1.0,P,,degrade_recover,14.0
1.0,P,,degrade_recover,15.0
0.9583333333333334,P,,degrade_recover,16.0
0.9791666666666666,P,,degrade_recover,17.0
0.9791666666666666,P,,degrade_recover,18.0
0.9583333333333334,P,,degrade_recover,19.0
0.0,P,,degrade_recover,20.0
0.0,P,,degrade_recover,21.0
0.0,P,,degrade_recover,22.0
0.0,P,,degrade_recover,23.0
1.0,P,,degrade_recover,24.0
1.0,P,,degrade_recover,25.0
1.0,P,,degrade_recover,26.0
1.0,P,,degrade_recover,27.0
1.0,P,,degrade_recover,28.0
1.0,P,,degrade_recover,29.0
1.0,P,,degrade_recover,30.0
1.0,P,,degrade_recover,31.0
1.0,P,,degrade_recover,32.0
1.0,P,,degrade_recover,33.0
1.0,P,,degrade_recover,34.0
1.0,P,,degrade_recover,35.0
1.0,P,,degrade_recover,36.0
1.0,P,,degrade_recover,37.0
1.0,P,,degrade_recover,38.0
1.0,P,,degrade_recover,39.0
1.0,P,,degrade_recover,40.0
1.0,P,,degrade_recover,41.0
1.0,P,,degrade_recover,42.0
1.0,P,,degrade_recover,43.0
1.0,P,,degrade_recover,44.0
1.0,P,,degrade_recover,45.0
1.0,P,,degrade_recover,46.0
1.0,P,,degrade_recover,47.0
,B0a-R,30.397902578595374,dropouts,0.0
,B0a-R,30.439207858623092,dropouts,1.0
,B0a-R,30.555280064865542,dropouts,2.0
,B0a-R,30.62476607303381,dropouts,3.0
,B0a-R,30.689807180182683,dropouts,4.0
,B0a-R,30.72878088584444,dropouts,5.0
,B0a-R,30.634333487467558,dropouts,6.0
,B0a-R,30.56611982521221,dropouts,7.0
,B0a-R,30.51615953691658,dropouts,8.0
,B0a-R,30.42045875940195,dropouts,9.0
,B0a-R,30.4035685777103,dropouts,10.0
,B0a-R,30.476330509940933,dropouts,11.0
,B0a-R,30.46981912263306,dropouts,12.0
,B0a-R,30.507077383636183,dropouts,13.0
